Region                    , Population
Northland 		      ,      179076
Auckland 		        ,      1571718
Waikato 		        ,      458202
Bay of Plenty 		  ,      308499
Gisborne 		        ,      47517
Hawke's Bay 		    ,      166368
Taranaki 		        ,      117561
Manawatu-Wanganui   ,      238797
Wellington 		      ,      506814
Tasman 		          ,      52389
Nelson 		          ,      50880
Marlborough 		    ,      47340
West Coast 		      ,      31575
Canterbury 		      ,      599694
Otago 		          ,      225186
Southland 		      ,      97467
Area Outside        ,      	669
